"","day","co2_flux","Site_temp","Chlorophyll","Sea_Surface_Temp","POC","PIC","PAR","Precipitation","co2_flux_sd","Site_temp_sd","Chlorophyll_sd","Sea_Surface_Temp_sd","POC_sd","PIC_sd","PAR_sd","Precipitation_sd"
"1","2015 01",0.0553372448,26.58702000025,NA,NA,NA,NA,17.924,0.989583333333333,0.405948638909712,1.11792460689137,NA,NA,NA,NA,NA,3.85810777031641
"2","2015 02",0.17827085325,26.2912031224324,NA,NA,NA,NA,39,0.0458333333333333,0.109569764406546,1.55539636031331,NA,NA,NA,NA,NA,0.167215408703269
"3","2015 03",0.0732233728571429,27.1404373502564,NA,NA,NA,NA,50.3,0.392045454545455,0.200052220218388,1.2167261886882,NA,NA,NA,NA,NA,2.48740883160775
"4","2015 04",0.00322451725,26.4642375210256,NA,NA,NA,NA,48.798,0.0125,0.0950475780230997,1.52800398249796,NA,NA,NA,NA,NA,0.0605822809570376
"5","2015 05",0.0651466938,27.4984678708333,NA,NA,NA,NA,49.934,0,0.105418420657066,0.880448517926729,NA,NA,NA,NA,NA,0
"6","2015 06",0.0690791682857143,27.0727997368421,NA,NA,NA,NA,47.982,0.58125,0.316670095945311,1.18488767033566,NA,NA,NA,NA,NA,2.34147673442901
"7","2015 07",0.198678188,28.1948775,NA,NA,NA,NA,NA,0.009375,0.215038592286849,0.964645974089726,NA,NA,NA,NA,NA,0.047998503966048
"8","2015 08",0.073630487,26.8394692797297,1.23,29.95,817.6,NA,49.738,0.025,0.100029786871939,0.913900103659513,NA,NA,NA,NA,NA,0.0778705964227451
"9","2015 09",-0.173304719166667,26.99078641,NA,NA,NA,NA,22.354,0,0.602716582742412,1.49871251397831,NA,NA,NA,NA,NA,0
"10","2015 10",0.0371639915454545,27.460737105,NA,NA,NA,NA,43.838,0,0.105038488336145,0.907693668170435,NA,NA,NA,NA,NA,0
"11","2015 11",-0.0348008791818182,27.6801327937838,1.78,30.64,241,2.4e-05,49.356,0.0270833333333333,0.357194250172066,0.72582388687151,NA,NA,NA,NA,NA,0.0989080452664985
"12","2015 12",0.161503445818182,26.5541099072222,1.03,30.28,152.2,1.6e-05,45.462,0.0686170212765957,0.218537893089009,1.2118190795802,NA,NA,NA,NA,5.69079537498933,0.23279323542545
"13","2015 13",0.0829711033333333,26.5506430187838,NA,NA,NA,NA,48.248,0.0696808510638298,0.0728445844979784,1.12986919341165,NA,NA,NA,NA,1.75928167159213,0.253175327611314
"14","2015 14",0.129321474076923,27.0278000420513,NA,NA,NA,NA,47.088,0,0.275521290962257,1.10537641236672,NA,NA,NA,NA,NA,0
"15","2015 15",-0.0842767817142857,26.9971092734615,0.65,31.28,142.6,8.2e-05,42.132,0.0479166666666667,0.60142433337289,0.960605492353829,NA,NA,NA,NA,13.9865721318699,0.229864567296149
"16","2015 16",-0.086684585125,26.3403966225333,NA,NA,NA,NA,50.378,0.242021276595745,0.166047458600727,0.964840697755181,NA,NA,NA,NA,NA,1.35940181324913
"17","2015 17",0.149486870636364,26.1073412858571,NA,NA,NA,NA,49.394,0.212105263157895,0.20400847416672,0.993718205235419,NA,NA,NA,NA,2.24859956417322,0.715731874699852
"18","2015 18",-0.12970390226087,26.6537070610526,NA,NA,NA,NA,50.454,0.2171875,0.189402622017267,1.0479493546307,NA,NA,NA,NA,1.5612917728599,1.17468535820852
"19","2015 19",-0.1118598564375,27.2779291233333,0.39,30.35,95,9.4e-05,50.462,0.463541666666667,0.09041056007982,1.17455693244231,NA,NA,NA,NA,1.51886536598871,1.72386467851295
"20","2015 20",-0.1257182602,27.2318851573585,NA,NA,NA,NA,49.303,0.361578947368421,0.0938442319415679,1.12332844349148,NA,NA,NA,NA,0.926309883354374,2.43260709273757
"21","2015 21",-0.0925544375526316,27.2722017944872,NA,NA,NA,NA,18.34,0.165789473684211,0.0686157713847759,1.07745885839165,NA,NA,NA,NA,NA,1.33795380366404
"22","2015 22",-0.136031210884615,27.038985640641,3.06,30.46,608.4,1.2e-05,45.557,0.241208791208791,0.269637895735277,0.882273707981556,NA,NA,NA,NA,5.40088159470285,0.755189211264797
"23","2015 23",-0.00415904052380952,26.9473528069737,NA,NA,NA,NA,9.602,0.0927083333333333,0.192104467207038,1.15507999108353,NA,NA,NA,NA,NA,0.454102884624797
"24","2015 24",-0.189145808210526,26.8625245725641,NA,30.31,NA,NA,47.872,0.0348958333333333,0.375510338100618,0.938773889205811,NA,NA,NA,NA,4.55659609796611,0.165612069174141
"25","2015 25",-0.0306691563,27.0812932428378,NA,NA,NA,NA,39.239,0.0291666666666667,0.484905184641014,0.8261795316635,NA,NA,NA,NA,5.45179328294828,0.0980511860597274
"26","2015 26",0.00655267270588235,27.5317748105063,NA,NA,NA,NA,46.283,0,0.170561530969082,0.956488718927081,NA,NA,NA,NA,1.41845620306021,0
"27","2015 27",-0.05254734325,26.8760449559211,NA,NA,NA,NA,46.622,0.342708333333333,0.183938687303068,0.963372166600156,NA,NA,NA,NA,5.91141269071954,1.99170621336353
"28","2015 28",0.0251247582857143,26.7474772885333,0.47,28.98,105.6,2.199e-05,35.072,0.256842105263158,0.312429766134179,0.836684408856642,NA,NA,NA,NA,20.4778123831624,0.839218561492157
"29","2015 29",-0.0220887060769231,26.8777983112,0.73,30.77,144.6,2.199e-05,45.78,1.32894736842105,0.210362711440131,1.36591928435015,NA,NA,NA,NA,6.55063722091217,4.10439294334384
"30","2015 30",0.00982235900000001,26.663608008961,NA,28.35,NA,NA,49.716,0.1015625,0.344312059706604,1.10927643572047,NA,NA,NA,NA,NA,0.417287804569107
"31","2015 31",-0.0580801116842105,27.1145327275,1.74,28.59,308,2.199e-05,49.628,0,0.203375960851373,1.30676558806457,NA,NA,NA,NA,NA,0
"32","2016 01",-0.0266920374832215,27.9166658041304,1.18333333333333,30.9725,212.133333333333,0.000283993333333333,45.8926,0.163350785340314,0.297773490953396,1.36013725238075,0.625326581342368,1.26112053349392,62.8208033483601,0.000224620969709716,11.7093429002466,1.13508137665527
"33","2016 02",-0.105458979981132,28.0472516156987,0.905,30.36,188,5.2e-05,51.7923333333333,0.167636684303351,0.39872591411243,1.35235023144958,0.601040764008565,1.01259567449204,72.1248916810278,5.37401153701776e-05,8.90870328760963,0.935875691245695
"34","2016 03",-0.00831119292105263,27.5945051727373,0.97,30.495,185.6,0.000792,52.5275,0.253732638888889,0.280623529394843,1.7388274524589,NA,1.11781035958699,NA,NA,3.34032415022426,1.4601485778041
"35","2016 04",0.0180602575092593,27.5651627468884,1.835,30.9725,226.9,8.8995e-05,48.1186,0.243979057591623,0.333229626679539,1.49706325525962,1.23743686707646,1.28766908274862,70.5692567624175,0.00010605894611017,9.67296369842827,2.08544813640393
"36","2016 05",-0.018829084647619,27.6298498278681,1.30333333333333,31.3525,195.533333333333,2.73333333333333e-05,46.8016,0.209082892416226,0.243486737585659,1.43641299948311,1.32258585102568,1.71768012155931,123.640176857417,8.08290376865476e-06,14.9824285763171,1.04902000633071
"37","2016 06",0.021742072962963,27.6174966951282,0.695,31.1766666666667,125.2,2e-05,39.8244444444444,0.333304042179262,0.410410107456506,1.49487063826629,0.445477272147525,1.46500284413831,39.315137033972,1.13137084989848e-05,17.7931847564672,1.6556674903898
"38","2016 07",-0.0229378461714286,27.6124094839355,0.86,30.22,172.2,8.2e-05,40.61925,0.267398945518453,0.178977576171132,1.39763969029882,NA,NA,NA,NA,13.5633654035947,1.79233390534195
"39","2016 08",-0.0481782353018868,27.8387261558936,0.645,30.93,146.3,0.000263,40.773,0.21359649122807,0.225928999953246,1.21607017940373,0.0636396103067893,1.11722871427474,39.1737156777347,0.000354967604155647,16.1362786636545,2.00595428565091
"40","2016 09",0.000465201552631579,27.9438715594421,0.89,30.834,195.8,0.000183333333333333,52.1783333333333,0.137717770034843,0.218972153950464,1.48435832609898,0.240624188310319,1.25490238664208,58.0579021322679,0.000262604899675031,3.68255854898013,1.20441009745847
"41","2016 10",-0.0191284013979592,27.9349083076316,0.56,31.255,113.6,1.6e-05,48.6722,0.121754385964912,0.492784058887303,1.63766971919972,NA,0.918349969601277,NA,NA,8.82250367337224,0.84742994652075
"42","2016 11",0.0638026414459459,27.8889031868113,0.7375,31.0214285714286,164.9,4.1e-05,52.7702,0.203064798598949,0.236562914687491,1.67862738636432,0.371965500192334,1.2788201407473,62.5818930149395,4.26614580154031e-05,3.55671189599483,1.19547915711317
"43","2016 12",-0.01379751034375,27.7496508186184,0.935,30.085,160.2,0.000378995,50.8253333333333,0.117513134851138,0.140292561947567,1.65702970110006,0.530330085889911,0.318198051533946,56.5685424949238,0.000329518831100743,3.94255095084388,0.595744954041383
"44","2016 13",0.11429750873913,27.6832972705176,1.2,29.675,177.6,6.8e-05,40.98425,0.360946573751452,0.503065655002592,1.32453125294681,NA,0.00707106781186407,NA,NA,14.6404694865197,1.88307261480031
"45","2016 14",0.0023502271641791,27.6366486953283,1.06,28.19,226.6,1.4e-05,45.4174,0.122854640980736,0.449635216793137,1.11901574801703,NA,NA,NA,NA,10.5145618834072,0.82577369030844
"46","2016 15",0.0549766768333333,27.5428795286829,1.32,30.235,212.4,2.199e-05,49.7884444444444,0.346869565217391,0.180558671705065,1.58553403946745,NA,0.261629509039023,NA,NA,5.73292480133638,1.62864673373497
"47","2016 16",0.0180161307058824,27.2929965302155,0.77,31.15,196.3,0.000332995,50.0754285714286,0.447535211267606,0.224595019999238,1.51813029811304,0.268700576850888,1.52238847429513,81.317279836453,4.66619764905003e-05,5.10743323849801,1.70634336249059
"48","2016 17",0.00906236233333333,27.3300597721154,0.835,31.32,172.15,0.0002974975,48.8965454545455,0.354678899082569,0.445409921731663,1.54669336024633,0.354823899984203,1.531894252225,34.1703087489709,0.000434035278932869,9.11821952317048,1.72214201052796
"49","2016 18",-0.0300501845283019,27.3435875964378,0.75,30.92,202.2,8e-05,40.4145714285714,0.626876090750436,0.294371774878614,1.61078392766294,NA,2.23445742854949,NA,NA,16.0530452236447,2.33578916606914
"50","2016 19",-0.0142799236293103,27.6743057944086,0.42,31.245,100.6,3.2e-05,48.7457777777778,0.36753774680604,0.230904056424827,1.57425761589061,NA,0.940452018978109,NA,NA,7.00295376569376,1.99083395421703
"51","2016 20",0.0120571481680672,27.4611883052954,0.62,30.8433333333333,141.8,0.000108,35.8414,0.299713193116635,0.328587602425207,1.62816399312906,0.112694276695846,0.434664621672081,16.808331267559,0.000161083829107704,17.8619171809125,1.53600308370126
"52","2016 21",-0.0409570199652174,27.5017468251404,0.735,31.6366666666667,153.7,3.2e-05,39.6018,0.229428571428571,0.257221867842195,1.37514207204615,0.233345237791561,1.55049454476091,27.0114790413261,2.54558441227157e-05,15.9402861942801,2.02803011846369
"53","2016 22",-0.0200258031287129,27.5768052821978,0.9,30.835,185.7,2.0995e-05,44.4795,0.227619893428064,0.302517034812454,1.57319911532491,0.254558441227157,1.54856385079854,80.7515944115037,1.40714249456123e-06,13.3644132039426,1.61310966606852
"54","2016 23",-0.0319489809880952,27.9478234544017,0.716666666666667,30.6675,156.333333333333,1.733e-05,47.3551111111111,0.0953818827708703,0.351455031736558,1.56042859389324,0.150443787951957,1.64850184511069,38.1661280893587,4.15772774481447e-06,8.8468727870989,0.806041459438101
"55","2016 24",0.0408728157610619,27.7590237998478,0.51,30.665,131.9,0.000255,49.406,0.128460038986355,0.238829045526022,1.64941027548491,0.127279220613579,0.431335136523794,38.0423448278363,0.000213546247918337,11.2310042293644,0.711477450767614
"56","2016 25",-0.0689117965909091,27.9903767378298,1.04,30.74,304.4,2.4e-05,41.191,0.169259962049336,0.340466574064917,1.57783628206504,NA,0.339411254969543,NA,NA,16.4217918226565,0.947828227392
"57","2016 26",-0.0180556179345794,27.6848630746552,0.595,30.005,152,0.000307995,51.5708,0.199650959860384,0.227356808312627,1.6361374448619,0.346482322781408,0.912167747730646,69.8621499812309,0.000407286434895639,4.10343359747528,1.29082624525554
"58","2016 27",-0.03089476024,27.8938850012996,NA,29.75,NA,NA,44.7954,0.0527972027972028,0.364929022216361,1.22417910545491,NA,0.806101730552665,NA,NA,9.67268842555046,0.478825775647818
"59","2016 28",-0.0146468913495146,28.0564003030372,0.54,31.12,124,6e-05,45.079,0.137653239929947,0.356628725830024,1.31059232450788,NA,NA,NA,NA,9.92981202526729,1.07409321636497
"60","2016 29",0.00144332780808081,27.366857474476,0.44,30.76,141,1.8e-05,41.9355,0.557234915055653,0.352014252870975,1.50536231269521,NA,0.212132034355965,NA,NA,18.3937893788715,2.74612846150231
"61","2016 30",-0.036176867553719,27.6323122120455,0.78,29.495,171,0.001044,42.1995555555556,0.362476007677543,0.273775343671388,1.48439650248022,NA,0.00707106781186658,NA,NA,14.0777098555759,2.48440478320805
"62","2016 31",-0.0588903546470588,27.4498156732,0.45,31.58,126.8,1.2e-05,48.1805,0.170570570570571,0.240440463855122,1.43966596066711,NA,1.14551298552221,NA,NA,4.90778276482025,1.03894291677263
"63","2017 01",-0.0216742225223881,26.8299414780333,0.54,31.215,127.2,1.4e-05,40.36475,0.27974537037037,0.323598092797224,1.34566077161828,NA,0.615182899632295,NA,NA,13.8908912369633,1.60814001883049
"64","2017 02",-0.00639171304938272,26.3873969111969,0.815,29.4025,232.7,7.4995e-05,47.672,0.100454921422663,0.233647591358033,1.33120714039894,0.615182899632296,0.700208302340572,195.868578388674,8.06031019874545e-05,15.4764411929875,0.573119958506018
"65","2017 03",-0.0227515661222222,26.6005295385385,0.36,30.8233333333333,92,0.000116,48.6932,0.324642857142857,0.453304052561564,1.36534127939935,NA,1.10387197325294,NA,NA,8.08547841503519,1.35881937244863
"66","2017 04",-0.0163941346710526,26.6731532957576,0.54,30.2366666666667,126.4,1.66666666666667e-05,48.1193333333333,0.198125,0.378066893869484,1.41230173249438,0.0692820323027551,0.768461666794989,21.290373411474,6.42910050732864e-06,10.3632426874989,1.16920178601301
"67","2017 05",0.0215178713770492,27.1826000121852,0.69,30.03,171,0.000244,45.7811428571429,0.0669856459330144,0.342141087269265,1.05651978160708,NA,NA,NA,NA,7.56391229079616,0.278762260492703
"68","2017 06",0.0562223825098039,27.1461664125191,0.63,30.905,153,0.000248,45.4795,0.0640692640692641,0.271844470521792,1.26734430087472,NA,0.219203102167829,NA,NA,12.8861250187944,0.593399248098005
"69","2017 07",-0.0198995026557377,27.454549392915,0.36,29.855,92.6,0.000252,48.417,0.344050104384134,0.31614321168051,1.34064648795731,NA,0.34648232278141,NA,NA,9.43272728324105,1.94873392156699
"70","2017 08",0.0832821164117647,26.8610787041328,0.585,30.675,267.8,0.000104,43.89375,0.214345991561181,0.242242234363747,1.6600842313048,0.0636396103067893,1.67584307141212,195.444314319962,NA,10.2602432406421,1.38618024086465
"71","2017 09",-0.0120041364912281,27.075048252467,0.72,31.885,170,1.4e-05,44.8286666666667,0.267592592592593,0.269758294070974,1.42872111547222,NA,0.572756492761103,NA,NA,18.3361319657846,2.24528187777487
"72","2017 10",-0.0895734820882353,26.852869462379,1.46,31.4325,155,1.5e-05,51.311,0.166203703703704,0.456860417307051,1.34511958559461,1.28829344483312,1.08244707337896,43.5577777210913,1.41421356237309e-06,7.99456042568946,0.957273504102557
"73","2017 11",0.0102368068405797,26.6533535143411,0.67,31.405,175.4,5.6e-05,54.6354285714286,0.25474537037037,0.164915889943924,1.35101516068547,0.509116882454314,0.332340187157677,124.450793488832,5.939696961967e-05,2.74357399858547,1.70381227519937
"74","2017 12",-0.0257300115595238,27.1094624242545,1.17,31.04,220.4,1.4e-05,42.0093333333333,0.153263403263403,0.212119531270491,1.27831818643313,NA,NA,NA,NA,15.5235853418811,1.25359336894474
"75","2017 13",-0.0278345153980583,27.2013059671161,0.63,30.778,133.666666666667,8.33333333333333e-05,43.159,0.207906976744186,0.349991937781799,1.14049209095878,0.166433169770932,1.50167240102494,27.9100937535748,0.000116641902133553,16.8556525830358,2.06334595776933
"76","2017 14",-0.121009896791667,27.0963273973077,0.84,30.355,173.8,1.4e-05,48.8814285714286,0.245535714285714,0.349007469241112,1.48748433138787,NA,1.84554869889689,NA,NA,8.37255761117121,1.27051924409526
